path;sentence
common_voice_quy_41903591.wav;Akchiyqa kay puykunamantam paqarimun.
common_voice_quy_41903592.wav;Utqayllam wiñanku, sisarinku, hinaspa pawayta qallarinku.
common_voice_quy_41903593.wav;Maynintam chayayman, puquio llaqtallayman.
common_voice_quy_41903594.wav;Manaña sachakuna kaptin, pachaqa chinkariyta qallarin.
common_voice_quy_41903595.wav;Kaykunam hukniraq kallpasapa yurakuna.
common_voice_quy_41904417.wav;Suqta harawikunata paqarichirqa.
common_voice_quy_41904418.wav;Chay killapim Ayamarpa rayminta ruwarqaku, ayakunata marqaspanku.
common_voice_quy_41904419.wav;Chileqa huk hatun llaqta qulla suyumantam.
common_voice_quy_41904420.wav;Yuyariwaptikim.
common_voice_quy_41904421.wav;Kayta akllasqa mana qhawasqa tropical unqusqa kaqhina kan.
common_voice_quy_41905178.wav;Kallmapa rurunmi kallmapa rikuqmi mirachinapaq.
common_voice_quy_41905180.wav;Chaynata kuyawaptikiqa.
common_voice_quy_41905181.wav;Qamllamari taytallayta.
common_voice_quy_41905182.wav;Pachacha churallawasqa.
common_voice_quy_42019314.wav;Provincia de Manu nisqanpim, tawa distritukunam kan.
common_voice_quy_42019315.wav;Manaraq huk watayuq wawakunataqa, pallpa ninchikmi.
common_voice_quy_42019316.wav;Wasiki punkupi kuti kuti lambras.
common_voice_quy_42019317.wav;Pitaq maytaq aysarillasunki.
common_voice_quy_42019318.wav;Latin simiqa romanukunapa rimayninmi karqa.
common_voice_quy_42019357.wav;Qaway qawachkanki.
common_voice_quy_42019359.wav;Maynintam chayayman, limacha llaqtaman.
common_voice_quy_42019360.wav;Wasi rurayqa, ancha sumaq llamkaymi.
common_voice_quy_42019361.wav;Achka yachayspanta ruwaspa.
common_voice_quy_42019362.wav;Pitaq maytaq sinchimusunki.
common_voice_quy_42033946.wav;Kay pawaq uywakunam raprayuq kanku.
common_voice_quy_42033947.wav;Rabiaypim upiani.
common_voice_quy_42033948.wav;Esquina muyurinapim tiendaypas.
common_voice_quy_42033949.wav;Kay muhukunaqa miski kiskim proteína nisqapi.
common_voice_quy_42033950.wav;Wirayakullachkan.
common_voice_quy_42033973.wav;Ima kawsasqankumanta, chaynatam rakinchik.
common_voice_quy_42033974.wav;Sunquqa yawartam sirkakunamanta tanqan.
common_voice_quy_42033976.wav;Sonqo suwa.
common_voice_quy_42033977.wav;"Parkipiqa hatun zona de ""protección estricta"" siqa kanmi."
common_voice_quy_42033993.wav;Kunan pachapiqa, aswan rimayqa castellano simim.
common_voice_quy_42033994.wav;Rinriqa umapim, kaypim uyarikuyta paqarichin.
common_voice_quy_42033995.wav;Ripukunayñam kachkarqa.
common_voice_quy_42033996.wav;Imapas wayrawan musyaptin hinaspa akakipakuptin, wayrapim tikrakun.
common_voice_quy_42033997.wav;Qamkunata rimachikichik.
common_voice_quy_42076378.wav;Chiki tuku qachwallachkam.
common_voice_quy_42076379.wav;Biblia maytuqa hatun pachamanta achka qillqakunaman tikrachisqam.
common_voice_quy_42076380.wav;Qallaykamusunchik kay willakuykunawan.
common_voice_quy_42076381.wav;pachakunapa tarpuykunam runapa makinpim yurakuna hinallataq uywakunapas.
common_voice_quy_42076382.wav;Harawi simiqa Tawantinsuyu pachapim paqarin.
common_voice_quy_42076388.wav;Sachapa qaranmi llantasapa, raku raku ñataq hatunkaray.
common_voice_quy_42076389.wav;Soltero vidaschaypi.
common_voice_quy_42076390.wav;Sunqu suwa.
common_voice_quy_42076391.wav;Ñoqallay kutimunallayta.
common_voice_quy_42076392.wav;Maná reqsisqay runap wasinman.
common_voice_quy_42076423.wav;Mamallaypa, taytallaypa.
common_voice_quy_42076424.wav;Tayta mamaysi llakipuwachkan.
common_voice_quy_42076425.wav;Manasya tarimunichu sumaq llaqtanchik hinata.
common_voice_quy_42076426.wav;Kaymi tukuy rikuq yurakuna, kuchunapaq ñataq hukllawanapaq.
common_voice_quy_42076427.wav;Retama plantas qay.
common_voice_quy_42076433.wav;Uraypim, chawpi punchawpi inti kachkan.
common_voice_quy_42076434.wav;Hatu hatu llaki.
common_voice_quy_42076435.wav;Qamwanmi kayta munani.
common_voice_quy_42076436.wav;Mamallay wachallawarqa, Taytallay churiallawarqa
common_voice_quy_42076437.wav;Qorichawan qollqechawan, sumaq kaskillasqa.
common_voice_quy_42076448.wav;Yakuqa mana chuyam kananchu.
common_voice_quy_42076449.wav;Hawanqa maypipas chawpinmanta kaqlla karum kachkan.
common_voice_quy_42076450.wav;Ayamarka nisqaqa, ayakunata ñataq runa wañusqakunatapas pampachanapaq llaqtam.
common_voice_quy_42076451.wav;Inkakunapa yupaychasqam yura karqa.
common_voice_quy_42076452.wav;Kaykunam hukniraq calendario nisqakuna.
common_voice_quy_42076463.wav;Kay pisqum kuyasqa warmipa qillqa takipi rikurin.
common_voice_quy_42076464.wav;Cumadrichaywan, cumadrichaywan.
common_voice_quy_42076465.wav;Achka qullqita Atawallpa apachimuchkaptin, chay awqakunaqa paqumarura.
common_voice_quy_42076466.wav;wawakuna yachamuyta qallarinankupaqmi yachay wasi.
common_voice_quy_42076468.wav;Rurupa iskay rapinkunam huñunakunku, hinaspañataq hawapi tiyanku.
common_voice_quy_42076478.wav;Kay pisqukunam hatun puka quchapim kawsanku.
common_voice_quy_42076479.wav;Kaypim hukniraq kawsakunamanta qillqakuna kan.
common_voice_quy_42076480.wav;Achka proteína nisqayuqmi, allin punim mikunanchukpaq.
common_voice_quy_42076481.wav;Pachachan rantipuwasqa.
common_voice_quy_42076482.wav;Puquiomantapas toqyariq hina.
common_voice_quy_42076488.wav;Askatayá pusamunkichis.
common_voice_quy_42076489.wav;Hatun llaqtapiqa iskay simikunatam rimanku.
common_voice_quy_42076490.wav;Tawantinsuyu pachapiqa Inkakuna ama sacha kuchuypi pacham karqa.
common_voice_quy_42076491.wav;Ancha rimaysapam, iskay pachak hunumanta aswan rimaqkunawan.
common_voice_quy_42076552.wav;Kay maytuqa ancha pantasqasapam kachkan.
common_voice_quy_42076553.wav;Qispi kayqa runakunapa hayñinmi.
common_voice_quy_42076554.wav;Iskaynin churikunam qullqisapakunayarunku.
common_voice_quy_42076555.wav;Kaymi huk hampiq yura.
common_voice_quy_42076556.wav;Chaskachaw nisqaqa, pichqa ñiqin punchawmi qanchischawpi, chaskarayku sutichasqa.
common_voice_quy_42076557.wav;Miskita llakiykamuy.
common_voice_quy_42076558.wav;Chay kaspimanta wasiqa torowan chaqrusqa kallmakunamanta ruwasqa kaspikunawanmi ruwasqa kachkan.
common_voice_quy_42076559.wav;Kaykunam huknin quechua simipi sufijukuna.
common_voice_quy_42076560.wav;Kunan pachapiqa manañam sacha-sachañachu, lliwallañam.
common_voice_quy_42076561.wav;Wasi tiyasqay iskinapim.
common_voice_quy_42076562.wav;Mamallaykita reqsiykachiway.
common_voice_quy_42076563.wav;Runapa llanpu sunqu kawsaynin kaptin, allin lawsay nispapas ninchik.
common_voice_quy_42076564.wav;Tayta mamaysi waqapuwachkan.
common_voice_quy_42076565.wav;Mikuna utaq mikuna imapas kaptin huk runapaqa mikunanpaqmi.
common_voice_quy_42076566.wav;Chakata simpaykuspa kuskaya pasapusun.
common_voice_quy_42076567.wav;Anti llaqtaqa, lliw llaqtakunam.
common_voice_quy_42076568.wav;Noqayku hamuniku iskay hora puriypi, noqayku hamuniku vendeq.
common_voice_quy_42076569.wav;Sartenchallaypas kapuwachkanmi.
common_voice_quy_42076570.wav;Imakunatapas, runakunata, uywakunata, llapallanta sutinchananchik.
common_voice_quy_42076571.wav;Kay neutrones nisqankuna huknin moleculas nisqata pakinman.
common_voice_quy_42076572.wav;Runap taytanta taytachakuspa.
common_voice_quy_42076573.wav;Kawsayqa wañuywanmi tukukun.
common_voice_quy_42076574.wav;Challwa hapiyqa runakunapa challwakunata hapiyninmi mikunankupaq.
common_voice_quy_42076575.wav;Truchaqa Europa llaqtamantam apamusqa karqa, huk musuq challwa uywa.
common_voice_quy_42076576.wav;Qonqallawaptikim.
common_voice_quy_42076577.wav;Kaypim kachkanku.
common_voice_quy_42076578.wav;Pasakunayñam kachkarqa.
common_voice_quy_42076579.wav;Paqarin mincham vueltarqamuchkasaq.
common_voice_quy_42076580.wav;Huk akatanqakunaqa allpa hawapim kawsanku, hukkunañataq sachakunapim yachanku.
common_voice_quy_42076589.wav;Ñam kutiramunikuña sumaq yachakuqkuna.
common_voice_quy_42076593.wav;Chirimantam, rapikuna ñataq waytakuna wiñanku, allpapiñataq sapikuna.
common_voice_quy_42076596.wav;Sunquqa yawartam muyunanpaq kamachin.
common_voice_quy_42076598.wav;Saqellawasqayki horamantaqa.
common_voice_quy_42076600.wav;Kay faringitis sasachakuykuna estreptococos nisqanmantaraykum.
common_voice_quy_42076621.wav;Horan horan waqanallay.
common_voice_quy_42076622.wav;Qamllamari mamallayta.
common_voice_quy_42076623.wav;Ñawpaq Iglesia Cristianapa punta kamachiqninmi karaq.
common_voice_quy_42076624.wav;Paykunapa qawarisqanmanhina, Intipa churinmi karqa.
common_voice_quy_42076625.wav;Kawsaq kawsaypi, kaykunam kawsaq uchkukunam.
common_voice_quy_42076629.wav;kumuykachallanqa.
common_voice_quy_42076630.wav;Kaykunam huknin uywakuna.
common_voice_quy_42076631.wav;Chaynatam musuq yachaykunata tarinchik.
common_voice_quy_42076632.wav;Kay rurukuna ñataq muhukuna wirasapam kanku.
common_voice_quy_42076633.wav;Tulluqa ancha uchku uchkum kurkunchikmanta.
common_voice_quy_42076654.wav;Ñawikuna hinam, rinrikuna hinam, makikuna hinam, chakikuna hinam.
common_voice_quy_42076656.wav;Upyana yakuqa runapa upyananpaq yakum.
common_voice_quy_42076657.wav;Intichay punchawqa qanchis kaq punchawmi, chaynata sutikun intiraykum.
common_voice_quy_42076658.wav;Kaykunam hukniraq papayapa yurakuna.
common_voice_quy_42076659.wav;Huk pachapim ninku, hallmanaykitaqa, llamkay.
common_voice_quy_42076664.wav;Runapas uywakunapas hukllam sinqayuq.
common_voice_quy_42076665.wav;Yakuman rumi wischusqay lambraschallay.
common_voice_quy_42076666.wav;Paykunaqa Jesusta Poncio Pilatuman wañunanpaq quykuraku.
common_voice_quy_42076667.wav;Madrinaypa padrinuypa.
common_voice_quy_42076668.wav;Compadrellayta debekuranichu.
common_voice_quy_42076679.wav;Suyuqa, república nisqan utaq monarquía nisqan.
common_voice_quy_42076680.wav;Allpa llamkayqa iskay ñawpaq llamkaykunamanta hukninmi.
common_voice_quy_42076681.wav;Kaymi huk aycha mikuq ñuñuq uywa.
common_voice_quy_42076682.wav;Ciertopuniña waylluwaspaqa.
common_voice_quy_42076683.wav;Kay mikuykunam sapa punchaw mikunanchik.
common_voice_quy_42076709.wav;Chay ñanpi puriq runakunata mancharichiy chaynallataq kawsaq masinkunata qatipay.
common_voice_quy_42076710.wav;Perú suyupa, Cusco suyunqa urayninlanpi tarikun.
common_voice_quy_42076711.wav;Kuyay compadreywan takirikunaypaq.
common_voice_quy_42076712.wav;Tukuy sunquywan turiykuna.
common_voice_quy_42076713.wav;Hinallataq, puriq quyllurkunam ñataq waranikunapas intita muyupayanku.
common_voice_quy_42076724.wav;Comadrellaywan upiaykunaypaq.
common_voice_quy_42076725.wav;Panteón ukutam yaykurusqani, pantaspay.
common_voice_quy_42076726.wav;Chay pachamantam samkay wasipi tiyachkarqqa.
common_voice_quy_42076727.wav;Kay suyum hamuq runakunapa imaymana kawsaykunata kicharin.
common_voice_quy_42076728.wav;Rumichallanta wischuchisun.
common_voice_quy_42076739.wav;Huk qaytu kurukuna yura mikuqmi kanku, hukkunañataq aycha mikuqmi.
common_voice_quy_42076740.wav;Muhu kutasqakunawan tantata upachinchik.
common_voice_quy_42076741.wav;Runapas uywakunapas iskay ñawiyuqmi.
common_voice_quy_42076742.wav;Pachakunapa pampankunatam riqsinchik.
common_voice_quy_42076743.wav;Hatun llaqtakunapiqa atuqkuna kanmi, doncellakuna ñataq qatuqkunapas.
common_voice_quy_42076779.wav;Allpa ukupi wiñasqanta wirasapa muhunata, miski kallpasachasapa rurukunapata mikunchik.
common_voice_quy_42076780.wav;Wasichallayki punkuchapi.
common_voice_quy_42076781.wav;Runa chayllapi imamantapas mancharikuptinqa, piñasqa kachkan, nispa ninchik.
common_voice_quy_42076782.wav;Runa rantikuqqa, imatapas rantikun. Runa rantimuqñataq rantimun.
common_voice_quy_42076784.wav;Qaqamantapas paqariq hina.
common_voice_quy_42076809.wav;Allpapi. Ritipi. Yakupi. Wayrapi.
common_voice_quy_42076812.wav;Chaysiya pichiwchallaqa, chukchuwan hapichikuchkan.
common_voice_quy_42076815.wav;Yachaqninkunawan kuskam llaqta folklorpi llamkarqa.
common_voice_quy_42076817.wav;Kaykunam huknin upyaykuna.
common_voice_quy_42076818.wav;Kayqaya pasachkaniña.
common_voice_quy_42076829.wav;Esquina muyurinapi, chichita chicha de qora.
common_voice_quy_42076830.wav;Uray qanay pasaqta.
common_voice_quy_42076832.wav;Lliw aycha mikuqkunamantam, lionqa aswan hatun aycha mikuqmi.
common_voice_quy_42076833.wav;Sacha rumiman arwipakuchkaqta.
common_voice_quy_42076835.wav;Yachay wayllukuypi, yupay yachaypipas ancha chaniyuqmi rikuyqa.
common_voice_quy_42076844.wav;Castaña de caballo nisqapim rurupi kichkakuna.
common_voice_quy_42076845.wav;Ayllu llaqtaqa, lliw kawsay runakunam.
common_voice_quy_42076846.wav;Kuyay mamayta weqe ñawintinta.
common_voice_quy_42076848.wav;Hinaspa Manqu Qhapaq Mama Uqllu warminwan lluqsirqa.
common_voice_quy_42076850.wav;Amam mamallay waqallankichu.
common_voice_quy_42076872.wav;Mecánica nisqapiqa, kanchay ruray sutichanchik.
common_voice_quy_42076873.wav;Warmita rantichkan.
common_voice_quy_42076874.wav;Kaykunam iskayniraq pampa kurukuna.
common_voice_quy_42076875.wav;Yakuqa maykunamanpas puqachinmi, chaynallataq qacha yaku wischuy kanmi.
common_voice_quy_42076876.wav;Hatun ankaqa, allin yaku pisqum.
common_voice_quy_42076891.wav;Ñoqallay pobre waqachirani.
common_voice_quy_42076893.wav;Sinchi sinchi llaki.
common_voice_quy_42076894.wav;Kunam punim munachkani.
common_voice_quy_42076895.wav;Chaynama ñoqa ripuspay.
common_voice_quy_42076896.wav;Llapallaykichis hamuychis, Qosqo runa, Perú runa, Huk paiskunapas.
common_voice_quy_42076912.wav;Pichqa chunka pichqa waranqa runakunam, awqanakuypi wañurqaku.
common_voice_quy_42076914.wav;Saksasqa kutiykunanchikpaq.
common_voice_quy_42076919.wav;Awqanchikpa kanchariy rimayninqa español simi nisqam.
common_voice_quy_42076920.wav;Yana puyullam tapawanqa.
common_voice_quy_42076945.wav;Caña tragotam upiarachimuwan
common_voice_quy_42076946.wav;Esquinachapi sayaq niñachata.
common_voice_quy_42076947.wav;Huk makipiqa pichqa rukanakunam kan, chaynallataq chakipipas.
common_voice_quy_42076948.wav;Kaymi huk kutipayaq michakuna.
common_voice_quy_42076950.wav;Huknin qillqankunapi uywakunapata ñataq waytakunapata kawsanninkuta riqsichin.
common_voice_quy_42076980.wav;Kuyay taytayta wiqi ñawintinta.
common_voice_quy_42076981.wav;Qampa chukchachaykiwan ñoqapa chukchachallaywan.
common_voice_quy_42076982.wav;Tipqay papakunataqa, chakiwanmi ruwakun, qarikuna ñataq warmikuna kay llamkayta ruwanku.
common_voice_quy_42076983.wav;Gradosqa huk takiq Perú suyumantam karqa.
common_voice_quy_42076984.wav;Qupa yakukunaqa ancha waqlliqmi kanku chaynallataq sasachakuqpas.
common_voice_quy_42076999.wav;Agencia punkupim saqemurqani.
common_voice_quy_42077000.wav;Manamya kutimusaqchu lambraschallay.
common_voice_quy_42077001.wav;Anchata muchuchiptinpas, manas Atawallpapa qurinmanta willarqachu.
common_voice_quy_42077002.wav;Yawar mayullam apawanqa.
common_voice_quy_42077024.wav;Senador nisqam karqa, vicepresidente nisqam, chaynallataq primer ministros nsqam.
common_voice_quy_42077025.wav;Chunchullqa chaka hinam.
common_voice_quy_42077026.wav;Uyachallaykipas kallasqaraqmi.
common_voice_quy_42077027.wav;Kay maytuqa mana allin qillqasqa kachkan.
common_voice_quy_42077028.wav;Chakiylla chakinqa.
common_voice_quy_42077067.wav;Taytanchikpa mikunanta mikuy, Jesucristuta yuyanapaq chaynallataq huchanchikta waqaychasqa kananpaq.
common_voice_quy_42077069.wav;Kaymi ruwamuyta atiwaq.
common_voice_quy_42077070.wav;Kawsaspapas wañuspapas qamllatam kuyakusayki.
common_voice_quy_42077071.wav;Kaymi huk iskayniraq runa rikchaqkuna.
common_voice_quy_42077072.wav;Sistema circulatorio nisqaqa kurkupi yawar sirkakunapa llikanmi, kaymi yawarta purichin.
common_voice_quy_42077087.wav;Aswan wapsi yakuyaptin, sutukunaqa miramun.
common_voice_quy_42077089.wav;Kaymi huk simipa llikanmi, simita sutichanapaq.
common_voice_quy_42077090.wav;Runakunaqa wallpakunata hinaspa huk pisqukunatapas uywankum runtunkunata mikunankupaq.
common_voice_quy_42077091.wav;Haylli kusa masiykuna.
common_voice_quy_42077092.wav;Qawaykusunchikyá kunachallan.
common_voice_quy_42077103.wav;Allpa hawapi kaq puyutaqa pacha puyu ninchikmi.
common_voice_quy_42077104.wav;Llakistin puriymanchu karqa, manaraq tupaykullachkaptiy.
common_voice_quy_42077105.wav;Carreterata mandakamuy.
common_voice_quy_42077106.wav;Yachay wasipim yachachinku.
common_voice_quy_42077107.wav;Niñacha tapurikusqayki.
common_voice_quy_42077113.wav;Comadrellaywan tomaykunaypaq.
common_voice_quy_42077114.wav;Imach ñoqa ruigachkayman.
common_voice_quy_42077115.wav;Aychanta ñataq tullunta kuchurqa, hinaspa achka runakunata aypura.
common_voice_quy_42077116.wav;Taytawan manaña apanakuspaqa, huchallikunmi.
common_voice_quy_42077144.wav;Ñoqa hina llakinallampaq.
common_voice_quy_42077145.wav;Manasya tarimunichu sumaq wasinchik hinata.
common_voice_quy_42077146.wav;Rimaykullaykichik wasichaykichikpi, llamkaykichikpi, yachay wasiykichikpi.
common_voice_quy_42077147.wav;Rio de Janeiro suyuqa Brasilpa suyum.
common_voice_quy_42077148.wav;Mayuman rumi chamqasqay lambraschallay.
common_voice_quy_42077155.wav;Kay ari nisqan rimaykunataqa simi yachaqkunawanmi rimanakunki, ama manam ninakuspanku.
common_voice_quy_42077156.wav;Uña uywakunata paqarimunku mana runtuta churaspa.
common_voice_quy_42077157.wav;Manasya tarimunichu qam hina uyachayuqta.
common_voice_quy_42077158.wav;Mana mamayuq mana taytayuq.
common_voice_quy_42077159.wav;Ñawipa kuchunqa iskaynintin siqikunapa chimpasqanmi, kuchusqapas sutichasqapas.
common_voice_quy_42077164.wav;Ciertupuniña kuyawaspaqa.
common_voice_quy_42077166.wav;Chay pachapi yarawikuna takisqankuqa llaki rimay takikunam karqa.
common_voice_quy_42077167.wav;Kaykunam Killapa mitakuna.
common_voice_quy_42077168.wav;Pichiwcha aspichakuqtas, killincha mancharichisqa.
common_voice_quy_42077169.wav;Qonqallawasqayki horamantaqa.
common_voice_quy_42077182.wav;Ruwanaqa, Waskarán urqupatam sutinta apan.
common_voice_quy_42077183.wav;Chaynatam qhatupa chaninta rimanakunchik.
common_voice_quy_42077184.wav;Taytallaykita reqsiykuspayqa.
common_voice_quy_42077185.wav;Pacha yupayqa, uraskunata, minutuskunata yupan hinallataq uratapas rikuchin.
common_voice_quy_42077186.wav;Chaynaqa chunkakunawanmi yupananchik.
common_voice_quy_42077193.wav;Pukaqa huk llinpim.
common_voice_quy_42077194.wav;Imaynallataq niwanaykipaq.
common_voice_quy_42077195.wav;Kaytaqa bazo nisqaman hinallataq wiksamanpas unkusqa runamantam ratachinman.
common_voice_quy_42077197.wav;Chaymantaqa aswan tuñisqa kachkan.
common_voice_quy_42077208.wav;Runasimi rimaq runakunaman qillqaykunata allin kananpaq kamachichkani.
common_voice_quy_42099722.wav;Kaykunam runakunapa, uywakunapa rikchayninkuna.
common_voice_quy_42099723.wav;Química nisqaqa imayaykuna materiapa yachaymi.
common_voice_quy_42099724.wav;Ancha yachapakuqmi chaynallataq folkrore tikraqmi.
common_voice_quy_42099725.wav;Chinaqa chumpim, urqutaq yuraqmi, qumir kunka umayuq.
common_voice_quy_42099731.wav;Amam taytallay llakillankichu.
common_voice_quy_42099732.wav;Kay muhukunamantam tanta hakuta kuchunchik.
common_voice_quy_42099733.wav;Kaymi huk rikchay urpi hina.
common_voice_quy_42099734.wav;Musuq yachachiq umanchakuqkunam kanraqmi, llaqtakunapi llamkanankupaq.
common_voice_quy_42099735.wav;Urpikunatam ñataq huk kurukunatapas mikunku.
common_voice_quy_42099736.wav;Sichu waqanki chay pachaqa.
common_voice_quy_42099737.wav;Munaychallaysi ñoqallaypaqa.
common_voice_quy_42099738.wav;Wallunachampim saqiykapuni.
common_voice_quy_42099739.wav;Españoleskuna chayaramuptinkum, achka sachakunata lliwapaq kuchumuraku.
common_voice_quy_42099740.wav;Iskay filosofía nisqakunamantam, aswan allinmi filosofía de arrastre nisqam.
common_voice_quy_42099741.wav;Kawallu awqaq nisqakunaqa kawallupi puriq awqaqkunam.
common_voice_quy_42099767.wav;Lliwmanta aswan allin upyanaqa chuya yakum.
common_voice_quy_42099768.wav;Ichallaraqpas yanayki kayman.
common_voice_quy_42099769.wav;Lliw puruyuq uywakunamantam aswan hatunmi.
common_voice_quy_42099770.wav;Hatun Chakuqa para mitayuqmi ñataq rupay mitayuqpas.
common_voice_quy_42099771.wav;Taytallaykita reqsiykachiway.
common_voice_quy_42099792.wav;Runakunaman waqllichin, huk ñawpaq kawsaqkunata ñataq achka chusikunatapas.
common_voice_quy_42099793.wav;Chaynam huk fútbol nisqa pukllaykuna.
common_voice_quy_42099794.wav;Moro pacha runa.
common_voice_quy_42099795.wav;Tawantinsuyupiqa, akllasqa warmakunam aklla wasipi kawsaqku.
common_voice_quy_42099796.wav;Musuq Rimanakuypa ñawpaq ñiqin qillqam.
common_voice_quy_42099807.wav;Quimicapiqa mana tinkisqa imakunapaq elemento nisqan sutichakun.
common_voice_quy_42099808.wav;Chaypi kawsaq runakunatam allin kawsayta yachachirqa.
common_voice_quy_42099809.wav;Kallpa tupuqa kaymi.
common_voice_quy_42099810.wav;Wañuyqa kawsaypatukuyninmi.
common_voice_quy_42099811.wav;Primera Guerra Mundial nisqapi waranqa waranqa runakunam wañurqaku.
common_voice_quy_42099827.wav;Chamanakuqa takipa tikrayninmi, llamkaywanmi chaninta ruranchik.
common_voice_quy_42099828.wav;Kaykunam imaynama akchikuna.
common_voice_quy_42099829.wav;Pitaq maytaq aysarillasunki.
common_voice_quy_42099830.wav;Maná reqsisqay runap llaqtanman.
common_voice_quy_42099831.wav;Chakata ruwaykuspa hakuya ripukusun.
common_voice_quy_42099847.wav;Ñawpaq pachaqa, pachapa pacham karqa.
common_voice_quy_42099848.wav;Tulluytodo friyirunaypaq.
common_voice_quy_42099849.wav;Tutayaykuptin, papakunataqa iskay kimsa tutata qasapi saqiy.
common_voice_quy_42099852.wav;Kay panqapiqa yachay wasipaq maytukunapim willakuykunata qawachichkaykichik.
common_voice_quy_42099855.wav;Islam iñiyqa, Coran nisqamantam willasqa kachkan.
common_voice_quy_42099867.wav;Latin simiqa romanukunapa rimayninmi karqa.
common_voice_quy_42099868.wav;Chiri suyukunapim anchata chirin, chiri mitapiñataq lastamun.
common_voice_quy_42099869.wav;Yachapakuqninkuwanmi tantata ñataq vinutapas rakinakurqa.
common_voice_quy_42099871.wav;Imaymana, hukniraq yakukunatam kay anafilaxia siqam ruwakun.
common_voice_quy_42099873.wav;Suegraytaqa munaymancha.
common_voice_quy_42099892.wav;Pachaqa lliw imapas ninmi.
common_voice_quy_42099893.wav;Huchaqa imaymana saqram.
common_voice_quy_42099894.wav;Pitaq maytaq machachimusunki.
common_voice_quy_42099895.wav;Hinaspa musuq simikunam lluqsirqa, romance nisqan.
common_voice_quy_42099896.wav;Electrones yupaykuna núcleo nisqapim, kaqllam.
common_voice_quy_42099921.wav;Maytam chaytam pusallawachkanki.
common_voice_quy_42099946.wav;Pichqa hatun wasikunam machu runakunapaq kanmi.
common_voice_quy_42099947.wav;Kay página nisqam kunanqa yuraqpi kachkan.
common_voice_quy_42099948.wav;Mana runtu pakikuptinqa, runtukunaqa inti rupaywanmi pakikun.
common_voice_quy_42099949.wav;Kayqaya ripuskaniña.
common_voice_quy_42099956.wav;Runaqa upyana yakuta pukyukunamanta utaq hatun yaku uchkunamantam hurqun.
common_voice_quy_42099957.wav;Chaynaqa kay watakunaqa manam kikinllakuchu.
common_voice_quy_42099958.wav;Llamkana mana atikuptinqa, runakunaqa raymikunapim pukllanku.
common_voice_quy_42099959.wav;Mana waykaypi hinam, manam mayqinpas waqllinchu, yanapanakunkum kikinkupura.
common_voice_quy_42099960.wav;Rabiaypim tomani.
common_voice_quy_42099962.wav;Llalliqmi hatun chaninta apakun.
common_voice_quy_42099963.wav;Kuyay comadreywan tusurikunaypaq.
common_voice_quy_42099966.wav;Amam tuñinkichu, kutimunaykama.
common_voice_quy_42099969.wav;Inti llikapiqa pusaq planitakuna kanmi.
common_voice_quy_42099991.wav;Yuyayqa kawsaqkunapa siqikunawan chaskisqa willaymi.
common_voice_quy_42099992.wav;Maynintam chayayman, icachacha llaqtaman.
common_voice_quy_42099993.wav;Pachacha churallawasqa.
common_voice_quy_42099994.wav;Hinaptinqa achka kaqllaña signos nisqan rikunchik.
common_voice_quy_42099996.wav;Kaykunam wakin ima rikchaykuna.
common_voice_quy_42100018.wav;Tukuy runakunapa atipay kayninmi.
common_voice_quy_42100019.wav;Iskay chaskiqkunam chaninchata mana munarqakuchu.
common_voice_quy_42100020.wav;Kamachikuqpiqa tawa hatun suyukuna kanmi.
